,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Largocephalosaurus polycarpon,-0.922466483,-0.7169262,0.041422121,-0.169563997,-0.211243712,Triassic,1,Saurosphargidae,Saurosphargidae,Amniotes,La.po,115
Dinocephalosaurus orientalis,0.604085951,-0.953077754,1.091172668,-2.798247762,0.649302587,Triassic,1,Tanystropheidae,Tanystropheidae,Amniotes,Di.or,116
Tanystropheus longobardicus,1.237376686,-1.552448432,2.099440347,-3.840772501,0.756783406,Triassic,1,Tanystropheidae,Tanystropheidae,Amniotes,Ta.lo,117
Tanytrachelos ahynis,-0.417569818,-1.637748425,1.14593905,-0.964992401,-0.402306453,Triassic,1,Tanystropheidae,Tanystropheidae,Amniotes,Ta.ah,118
Kallimodon cerinensis ,-1.107712189,-0.742897568,0.730910283,0.130420717,0.648528901,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Ka.ce,119
Kallimodon pulchellus,-1.02692174,-0.678822127,0.995974681,-0.092494834,0.813355705,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Ka.pu,120
Palaeopleurosaurus posidoniae,-2.037839977,0.34125756,0.42568127,-1.057670893,0.473167766,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Pa.po,121
Pleurosaurus ginsburgi,-2.587738592,0.751308042,0.0615907,-1.636960485,0.406688357,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Ple.gi,122
Pleurosaurus goldfussi,-2.405268304,0.400642054,0.51755978,-1.113160959,0.305564844,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Ple.go,123
Sapheosaurus thiollierei,-1.055741113,-0.302288568,1.29826018,-0.474369326,1.062001951,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Sa.th,124
Vadasaurus herzogi,-0.18094378,-0.250174654,1.78070812,0.005987586,1.283365686,Jurassic,1,Rhynchocephalia,Rhynchocephalia,Amniotes,Va.he,125
