,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Cornufer guppyi,-4.592392884,1.345129165,0.729883532,0.553627653,1.332868091,Extant,2,Rowing,Amphibian,Amphibian,Cor.gu,141
Crocodylus intermedius,-1.461029788,-1.037186962,-1.303352638,-1.050114498,2.200693779,Extant,2,Undulation,Reptile,Amniotes,Cro.in,142
Crocodylus porosus,-0.904283897,-0.912704774,-1.310269652,0.264577155,1.234000193,Extant,2,Undulation,Reptile,Amniotes,Cro.po,143
Cryptobranchus alleganiensis,-0.981308031,-1.4744572,-0.85445853,-1.98397561,-1.771232345,Extant,2,Undulation,Amphibian,Amphibian,Cry.al,144
Dermochelys coriacea,0.250019965,1.66807026,2.286373074,-2.500735111,-0.041351877,Extant,2,Forelimb oscillation,Reptile,Amniotes,Der.co,145
Desmana moschata,-2.404773087,-1.652539222,2.244655148,0.922228907,2.31691449,Extant,2,Paddling,Mammal,Amniotes,Des.mo,146
Enhydra lutris,-1.383219416,-1.718607755,1.16847172,1.103784652,-1.146468538,Extant,2,Undulation,Mammal,Amniotes,En.lu,147
Eremtochelys imbricata,-1.173771398,1.778415509,2.606026417,-2.624602204,-0.56623542,Extant,2,Forelimb oscillation,Reptile,Amniotes,Ere.im,148
Eudyptes chrysocome,-3.452241472,1.414543321,1.599369342,-0.334967508,1.739329939,Extant,2,Forelimb oscillation,Aves,Amniotes,Eu.ch,149
Halichoerus grypus,-1.053823504,-1.268029991,3.559391662,2.142274475,0.481130563,Extant,2,Undulation,Mammal,Amniotes,Ha.gry,150
Hexaprotodon liberiensis,-1.173383277,-0.216696166,0.402995521,0.318377699,-0.896087174,Extant,2,Paddling,Mammal,Amniotes,Hex.li,151
Hippopotamus amphibus,-0.48291165,-0.94176517,0.689616799,1.281528871,-1.031552817,Extant,2,Paddling,Mammal,Amniotes,Hi.am,152
Hydrochoerus hydrochaeris,-1.550783561,-0.386107281,0.144852119,0.802757702,-0.865216345,Extant,2,Paddling,Mammal,Amniotes,Hy.hy,153
Hydromys sp,-3.118782494,-1.296933731,0.39347045,1.33713355,1.287449318,Extant,2,Paddling,Mammal,Amniotes,Hy.sp,154
Kinosternon acutum,-1.107642105,-1.165460018,0.616590588,-0.226702079,-1.902755018,Extant,2,Rowing,Reptile,Amniotes,Ki.ac,155
Kinosternon subrubrum,-0.988022757,-1.336578965,0.805973122,-1.320719719,-1.706479556,Extant,2,Rowing,Reptile,Amniotes,Ki.su,156
Lissemys punctata,-1.314277385,0.152417901,0.019300131,-0.999781817,-1.556541117,Extant,2,Rowing,Reptile,Amniotes,Li.pu,157
Lutra lutra,-1.079330105,-1.521595663,1.277253558,0.128251856,-0.688523374,Extant,2,Undulation,Mammal,Amniotes,Lu.lu,158
Mesoclemmys nasuta,-2.509162969,0.610213549,0.45768876,-1.444188837,-0.077992234,Extant,2,Rowing,Reptile,Amniotes,Me.na,159
Miorunga leonina,0.375316856,-1.564975832,4.589187325,2.063946641,-0.358715609,Extant,2,Undulation,Mammal,Amniotes,Mi.le,160
Myocastor coypus,-3.13872704,-1.088438062,0.842506647,0.599853465,1.296114235,Extant,2,Paddling,Mammal,Amniotes,Myo.co,161
Neovison vison,-1.472605368,-0.289179007,0.375110355,1.753620032,-1.058327194,Extant,2,Paddling,Mammal,Amniotes,Neo.vi,162
Odobenus rosmarus,0.069434627,-0.563723177,3.152557894,1.474043794,-0.906396223,Extant,2,Undulation,Mammal,Amniotes,Od.ro,163
Ondatra zybethicus,-2.672804245,-1.585602106,1.835988469,1.460632239,0.944947166,Extant,2,Paddling,Mammal,Amniotes,On.zy,164
Ornithorhynchus anatinus,-1.029369754,-0.976252649,2.408823,0.431347009,1.725215994,Extant,2,Rowing,Mammal,Amniotes,Or.an,165
Otaria byronia,-0.428296029,-0.147139826,4.182222228,1.057077276,-0.049248009,Extant,2,Forelimb oscillation,Mammal,Amniotes,Ot.by,166
Phoca vitulina,-0.923666047,-0.50459316,3.0124549,2.749828599,0.100422603,Extant,2,Undulation,Mammal,Amniotes,Ph.vi,167
Potamogale velox,-1.786035257,-0.205651448,-0.141068639,1.07602495,0.060508134,Extant,2,Paddling,Mammal,Amniotes,Po.ve,168
Pteronura brasiliensis,-0.916273393,-1.162510499,0.997244161,1.296734261,-0.674190301,Extant,2,Undulation,Mammal,Amniotes,Pte.br,169
Spheniscus demersus,-2.579330147,1.035768075,1.38930439,-0.843457346,1.123608481,Extant,2,Forelimb oscillation,Aves,Amniotes,Sph.de,170
Staurotypus triporcatus,-1.336377669,-0.282522193,0.553117452,-0.869513073,-0.719902361,Extant,2,Rowing,Reptile,Amniotes,St.tr,171
Tapirus indicus,-1.420797598,0.080859218,0.812847601,1.38685055,-0.194276607,Extant,2,Paddling,Mammal,Amniotes,Ta.in,172
