Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Dolichorhynchops osborni,91.8,0.558,0.826,0.61,0.107,0.5,0.886,0.48,3.635,0.148,1.018,0.567,0.913,0.5,3.4,0.863,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Hydrotherosaurus alexandrae,140,3.179,0.829,0.336,0.282,0.692,1.07,0.849,6.881,0.25,1.083,0.658,1.119,0.798,6.659,1.095,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Morenosaurus stocki,200,1.735,0.815,0.246,0.31,0.757,0.692,0.466,4.937,0.267,1.039,0.728,0.669,0.452,4.821,1.041,Cretaceous,Mesozoic,Sauropterygia,Sauropterygia,Amniotes
Cartorhynchus lenticarpus,10,0.142,2.9,0.554,0.744,0.821,0.48,0.282,2.809,0.859,1.604,0.678,0.291,0.15,2.419,3.045,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Utatsusaurus hataii,57.5,0.112,1.549,0.403,0.875,0.537,0.264,0.135,2.424,0.866,1.039,0.7,0.265,0.138,2.555,1.013,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Chaohusaurus chaoxianensis,17.5,0.115,1.698,0.529,0.935,0.712,0.398,0.213,2.668,1.035,1.479,0.691,0.309,0.183,3.21,1.629,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Chaohusaurus brevifemoralis,31.28,0.049,1.256,0.366,0.935,0.677,0.309,0.185,2.445,1.211,1.561,0.69,0.261,0.156,2.77,1.598,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Xinminosaurus catactes,92.4,0.06,1.089,0.314,0.757,0.557,0.29,0.152,3.941,0.818,1.273,0.585,0.244,0.134,3.362,1.099,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Mixosaurus cornalianus,27.3,0.092,1.328,0.675,0.617,0.734,0.377,0.22,2.176,0.794,2.012,0.85,0.213,0.13,2.21,3.306,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Barracudasauroides panxianensis,34.97,0.061,1.123,0.563,0.644,0.731,0.341,0.211,2.315,0.751,1.533,0.786,0.208,0.129,2.455,2.836,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
