,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Group_1,Group_2,Time,Time_2,Time_3,Time_4,Time_5
Clarazia schinzi,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755,Thalattosauria,Thalattosauroidea,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Clarazia schinzi_d,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755,Thalattosauria,Thalattosauroidea,NA,NA,Ladinian-EndCretaceous,NA,NA
Endennasaurus acutirostris,0.135683076,-2.7445744,-0.703396743,0.359612176,1.239936652,Thalattosauria,Askeptosauroidea,Triassic,Late_Triassic,Ladinian-EndCretaceous,Nor-Rha,Nor-Rha
Miodentosaurus brevis,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422,Thalattosauria,Askeptosauroidea,Triassic,Late_Triassic,Ladinian-EndCretaceous,Car,Car
Miodentosaurus brevis_d,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422,Thalattosauria,Askeptosauroidea,NA,NA,NA,Nor-Rha,Nor-Rha
Helveticosurus zollingeri,-0.732100923,-0.625890876,1.457195782,0.121415022,-1.127240782,Saurosphargidae,Saurosphargidae,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Largocephalosaurus qianensis,-1.293942966,-1.37976271,0.60339019,-0.85354831,-0.560517059,Saurosphargidae,Saurosphargidae,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Dinocephalosaurus orientalis,0.482728017,-1.35599357,0.181008295,1.036631357,-1.316270504,Tanystropheidae,Tanystropheidae,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Tanystropheus longobardicus,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378,Tanystropheidae,Tanystropheidae,Triassic,Mid_Triassic,Induan-Anisian,Ani-Lad,Ani-Lad
Tanystropheus longobardicus_d,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378,Tanystropheidae,Tanystropheidae,NA,Late_Triassic,Ladinian-EndCretaceous,Car,Car
Tanytrachelos ahynis,1.859075206,-3.194112612,0.18890735,-0.774380218,-0.284190658,Tanystropheidae,Tanystropheidae,Triassic,Late_Triassic,Ladinian-EndCretaceous,Nor-Rha,Nor-Rha
Kallimodon cerinensis ,0.301547498,-2.801373794,0.693261358,0.592507034,0.972639771,Rhynchocephalia,Sapheosauridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
Kallimodon pulchellus,0.594403536,-2.958167136,0.581034486,0.63905589,1.069767286,Rhynchocephalia,Sapheosauridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
Palaeopleurosaurus posidoniae,-1.655580285,-1.985281599,-0.753426157,1.421784335,-0.642175991,Rhynchocephalia,Pleurosuridae,Jurassic,Early_Jurassic,Ladinian-EndCretaceous,Pli-Toa,Pli-Toa
Pleurosaurus ginsburgi,-1.414996722,-2.246707155,-1.816161868,3.115912506,-1.279807035,Rhynchocephalia,Pleurosuridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
Pleurosaurus goldfussi,-2.148164697,-2.332647365,-1.091754346,1.458073639,-0.779776357,Rhynchocephalia,Pleurosuridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
Sapheosaurus thiollierei,0.09646377,-2.837092214,0.426801385,0.761157375,1.0571627,Rhynchocephalia,Sapheosauridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
Vadasaurus herzogi,1.479181524,-2.592485581,0.180922334,0.926003415,1.978028803,Rhynchocephalia,Pleurosuridae,Jurassic,Late_Jurassic,Ladinian-EndCretaceous,Kim-Tith,Oxf-Tith
