Taxon,Trunk,Lower jaw ratio,Neck ratio,Tail ratio,Brachial ind.,Crural ind.,Fore/hind ratio,Humeral flare,Femoral flare,Forelimb ratio,Hindlimb ratio,Manus ratio,Pes ratio,Manus AR,Pes AR,Manus/pes ratio,Time,Group_1,Time_2,Time_3,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Group_1,Group_2
Temnodontosaurus trigonodon,235.4,0.667,0.088,1.792,0.446,0.386,1.158,0.92,0.719,0.448,0.345,0.314,0.246,4.416,4.854,1.802,Jurassic,Ichthyosauromorpha,Early_Jurassic,Ladinian-EndCretaceous,-0.392581649,2.986515743,-1.23720405,1.446636695,0.844166616,Ichthyosauromorpha,Early_Jurassic_Neoichthyosauria
Utatsusaurus hataii,57.5,0.403,0.112,1.549,0.875,0.866,1.039,0.537,0.7,0.264,0.265,0.135,0.138,2.424,2.555,1.013,Triassic,Ichthyosauromorpha,Early_Triassic,Induan-Anisian,-3.126542841,-0.418554444,1.051914442,1.347567896,-0.025692277,Ichthyosauromorpha,Basal
Xinminosaurus catactes,92.4,0.314,0.06,1.089,0.757,0.818,1.273,0.557,0.585,0.29,0.244,0.152,0.134,3.941,3.362,1.099,Triassic,Ichthyosauromorpha,Mid_Triassic,Ladinian-EndCretaceous,-2.352172898,0.492234596,1.028246311,1.516847003,-0.38074396,Ichthyosauromorpha,Early_intermediate
Aigialosaurus bucchichi,32,0.4463,0.4499,2.2063,0.7778,0.6545,0.8182,0.3384,0.2586,0.4168,0.4549,0.1821,0.1784,3.3838,2.8051,0.8642,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-1.532528081,-1.807525422,-0.246462601,0.790995319,0.104877091,Mosasauroidea,Aigialosauridae
Clidastes prophyton,136,0.368,0.1654,1.0735,0.8027,0.7663,0.8742,0.9027,0.5804,0.2388,0.1905,0.1687,0.1134,1.4213,1.6078,2.5034,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-3.515918836,0.657632834,0.810285398,0.666205172,-0.970666768,Mosasauroidea,Mosasaurinae
Halisaurus sternbergii,81.8,0.4648,0.3854,1.3415,0.7,0.713,1.0999,0.4023,0.5622,0.3164,0.2688,0.1918,0.1588,3.973,2.884,1.0587,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-1.848669339,0.087530158,0.195585619,1.012233753,-0.118533186,Mosasauroidea,Halisaurinae
Mosasaurus lemonnieri,246.48,0.308,0.224,1.299,0.766,0.713,1.018,0.961,0.76,0.286,0.274,0.207,0.197,2.246,2.709,1.324,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-2.424190822,1.700688885,0.913818618,1.840142399,-0.866935781,Mosasauroidea,Mosasaurinae
Platecarpus tympaniticus,175.11,0.313,0.199,1.661,0.726,0.715,1.001,0.949,0.677,0.37,0.376,0.261,0.249,2.251,2.185,1.064,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-2.061137986,0.936312244,1.090875096,1.248441069,-0.37670861,Mosasauroidea,Russellosaurinae
Plotosaurus bennisoni,130,0.373,0.232,1.598,0.812,0.65,0.9,1.178,0.72,0.343,0.336,0.275,0.262,4.549,4.166,1.012,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-1.298968804,1.770156776,0.800215251,2.714289326,0.424935982,Mosasauroidea,Mosasaurinae
Tylosaurus proriger ,254.5,0.469,0.203,1.627,0.726,0.679,1.085,0.647,0.662,0.394,0.394,0.259,0.257,3.548,3.189,0.907,Cretaceous,Mosasauroidea,Late_Cretaceous,Ladinian-EndCretaceous,-1.292620893,1.272492796,0.262464467,1.72024482,0.102361855,Mosasauroidea,Russellosaurinae
Archelon ischyros,150,0.4,0.48,0.4667,0.5385,0.7174,1.413,0.5231,0.2283,1.3962,0.9771,0.7499,0.4745,2.9716,1.7923,1.5062,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,2.33028288,0.453433369,2.95692661,-2.455718505,0.755932398,Pantestudines,Panchelonioidea
Eorhynchochelys sinensis,45.9905,0.1957,0.3005,3.3015,0.6142,0.6303,0.8944,0.5,0.3247,0.7713,0.835,0.3196,0.338,2.3583,3.7349,1.4163,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,0.026251515,-1.90317377,0.653013789,0.435503457,0.414259267,Pantestudines,Basal_pantestudines
Eurysternum wagleri,23.45,0.232,0.473,0.796,0.726,0.358,0.727,0.486,0.305,0.644,0.925,0.25,0.353,1.522,1.943,0.637,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,-0.065971437,-1.726974398,0.748164177,-0.827002964,-1.375114856,Pantestudines,Basal_Cryptodira
Hoyasemys jimenezi,3.6535,0.3523,0.5935,1.27,0.646,0.8092,0.9596,0.3832,0.2531,0.8989,1.0246,0.4174,0.4492,3.4919,3.6049,0.8916,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,1.341994822,-1.629828259,1.684164928,-0.275279472,0.702139363,Pantestudines,Eucryptodira
Idiochelys fitzingeri,9,0.331,0.531,0.856,0.65,0.735,1.083,0.339,0.204,0.861,0.87,0.352,0.37,3.604,2.662,0.669,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,0.695705742,-1.482628152,1.607035459,-0.695031341,0.074956176,Pantestudines,Basal_Cryptodira
Jeholochelys lingyuanensis,11.342,0.2957,0.3156,1.5478,0.5682,0.5658,0.9142,0.319,0.2168,0.9458,1.0558,0.4223,0.4757,3.5906,2.5814,0.5668,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,1.638572095,-1.839351347,1.141454684,-0.927265061,0.39601232,Pantestudines,Eucryptodira
Odontochelys semitestacea,14.3,0.4465,0.5,1.3561,0.6315,0.6547,0.9488,0.4358,0.2157,0.7809,0.7973,0.2972,0.3153,1.8546,2.9687,1.4218,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,-0.175496824,-1.594673504,0.694552231,-0.893937828,0.098340856,Pantestudines,Basal_pantestudines
Ordosemys liaoxiensis,17.2,0.2587,0.521,1.4186,0.5567,0.6644,0.9403,0.3857,0.3404,0.8808,0.999,0.3842,0.4429,2.4236,3.1173,0.968,Cretaceous,Pantestudines,Early_Cretaceous,Ladinian-EndCretaceous,1.083658573,-1.57396584,1.428054664,-0.716364321,-0.027742912,Pantestudines,Eucryptodira
Platychelys oberndorferi,12.5,0.254,0.58,0.942,0.737,0.94,1.05,0.472,0.355,0.713,0.621,0.294,0.405,1.705,2.823,0.87,Jurassic,Pantestudines,Late_Jurassic,Ladinian-EndCretaceous,-0.630314627,-1.519386136,2.310397544,-0.102704925,-0.315901125,Pantestudines,Pleurodira
Proganochelys quenstedti,40.25,0.2385,0.3717,0.9491,0.6124,0.5882,0.8746,0.4068,0.3021,0.7795,0.9836,0.2137,0.3463,1.284,1.7136,0.5079,Triassic,Pantestudines,Late_Triassic,Ladinian-EndCretaceous,-0.14160029,-1.955888098,1.150651735,-1.121128818,-1.014110873,Pantestudines,Basal_pantestudines
Protostega gigas,68,0.5441,0.4587,0.6618,0.5758,0.7407,1.2222,0.4242,0.2455,1.5588,1.25,0.8088,0.5875,2.5135,1.7626,1.3292,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,3.096087942,-0.626574621,3.046607395,-3.052678548,1.832739854,Pantestudines,Panchelonioidea
Rhinochelys nammourensis,21.5,0.4389,0.4295,0.5256,0.7589,0.6064,1.0863,0.55,0.2382,0.7907,0.6512,0.4555,0.3442,3.301,2.326,1.2339,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,0.134638646,-0.486214506,1.57017722,-0.904792932,0.190518641,Pantestudines,Panchelonioidea
Toxochelys latiremis,31.3,0.2713,0.5574,0.5751,0.5556,0.6491,1.0255,0.3606,0.1922,0.9536,0.9109,0.4687,0.4201,2.2119,2.3362,1.3148,Cretaceous,Pantestudines,Late_Cretaceous,Ladinian-EndCretaceous,1.115938162,-1.269911825,1.779395795,-1.680056097,-0.503246161,Pantestudines,Panchelonioidea
Xinjiangchelys wusu,14.5,0.2069,0.4828,1.2742,0.5892,0.516,0.62,0.2985,0.2683,0.6072,0.81,0.2828,0.3034,1.8095,2.8681,1.3763,Jurassic,Pantestudines,Mid_Jurassic,Ladinian-EndCretaceous,-0.005371076,-2.021533541,0.299211831,-0.540583174,-1.237862097,Pantestudines,Basal_Cryptodira
Cricosaurus bambergensis,38.1,0.9131,0.2097,2.0869,0.545,0.2874,0.3298,0.375,0.1344,0.1983,0.5129,0.0847,0.2195,1.6711,4.6009,0.4105,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,-1.142968763,-1.935240107,-3.681847615,0.523397511,0.555367236,Thalattosuchia,Metriorhynchoidea
Cricosaurus suevicus,50,0.86,0.22,1.956,0.5,0.2833,0.25,0.7,0.125,0.1765,0.5368,0.096,0.222,2.2606,4.0813,0.3376,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,-1.072519406,-1.272507839,-3.506452185,0.743529865,0.449199506,Thalattosuchia,Metriorhynchoidea
Dakosaurus maximus,122.4,0.5397,0.1663,1.7746,0.5042,0.3206,0.2658,0.4497,0.15,0.179,0.4913,0.0932,0.2116,1.4754,3.3389,0.4385,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,-1.262926698,-1.617006432,-2.770015653,0.629062725,-1.104467392,Thalattosuchia,Metriorhynchoidea
Metriorhynchus superciliosus,86.6065,0.8729,0.3204,1.7782,0.3222,0.3353,0.3005,0.2368,0.1251,0.2117,0.6837,0.0908,0.2573,2.011,2.6951,0.167,Jurassic,Thalattosuchia,Late_Jurassic,Ladinian-EndCretaceous,-0.618466088,-1.947236732,-3.74802208,-0.404852389,0.046858362,Thalattosuchia,Metriorhynchoidea
Pelagosaurus typus,30.1185,0.9922,0.4067,2.6287,0.5999,0.5645,0.5895,0.1872,0.1209,0.4237,0.8424,0.0982,0.2952,3.4731,4.0697,0.1298,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,-0.285673569,-2.554676799,-2.722589742,0.544909872,2.056651648,Thalattosuchia,Teleosauroidea
Platysuchus multicrobiculatus,61.4685,0.9436,0.3265,2.3051,0.5795,0.6024,0.6819,0.1602,0.1448,0.486,0.8663,0.1405,0.3361,3.0746,2.732,0.1553,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,-0.34040431,-2.40226033,-2.093476015,-0.186592475,1.777799928,Thalattosuchia,Teleosauroidea
Steneosaurus bollensis,92.063,0.978,0.408,2.52,0.573,0.748,0.655,0.221,0.169,0.475,0.862,0.119,0.311,3.541,3.336,0.139,Jurassic,Thalattosuchia,Early_Jurassic,Ladinian-EndCretaceous,-0.36270459,-2.170250198,-2.127264847,0.542163183,2.150249447,Thalattosuchia,Teleosauroidea
Anshunsaurus huangguoshuensis,73,0.5137,0.6027,2.3288,0.6182,0.625,0.8594,0.4836,0.3313,0.5051,0.5739,0.2154,0.2525,1.6558,2.3991,1.0544,Triassic,Thalattosauria,Mid_Triassic,Ladinian-EndCretaceous,-1.302369455,-1.417142552,-0.322215812,-0.050226369,0.097658006,Thalattosauria,Askeptosauroidea
Askeptosaurus italicus,28,0.6857,0.9464,4.0536,0.4422,0.5476,0.8172,0.1992,0.2317,0.5071,0.6786,0.2032,0.3096,2.7598,2.3563,0.3677,Triassic,Thalattosauria,Mid_Triassic,Ladinian-EndCretaceous,-0.433233264,-2.696838849,-1.826724703,-0.09190448,1.317577396,Thalattosauria,Askeptosauroidea
Clarazia schinzi,18.578,0.347,0.2223,2.9189,0.593,0.4543,0.6818,0.3383,0.39,0.4581,0.5437,0.2468,0.258,4.1386,3.0886,0.6826,Triassic,Thalattosauria,Mid_Triassic,Ladinian-EndCretaceous,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755,Thalattosauria,Thalattosauroidea
Endennasaurus acutirostris,17.199,0.4477,0.6838,4.1205,0.569,0.5439,0.8772,0.364,0.1804,0.6837,0.857,0.252,0.3385,3.0817,3.2771,0.5895,Triassic,Thalattosauria,Late_Triassic,Ladinian-EndCretaceous,0.135683076,-2.7445744,-0.703396743,0.359612176,1.239936652,Thalattosauria,Askeptosauroidea
Miodentosaurus brevis,91.177,0.0319,0.4645,3.1675,0.5641,0.1445,0.9242,0.4769,0.3673,0.5525,0.5412,0.218,0.2763,1.9581,2.2919,0.7286,Triassic,Thalattosauria,Late_Triassic,Ladinian-EndCretaceous,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422,Thalattosauria,Askeptosauroidea
Helveticosurus zollingeri,121,0.1818,0.2479,0.7025,0.6905,0.7514,1.1081,0.411,0.2432,0.581,0.5248,0.2934,0.2769,2.9688,2.5439,0.9622,Triassic,Saurosphargidae,Mid_Triassic,Induan-Anisian,-0.732100923,-0.625890876,1.457195782,0.121415022,-1.127240782,Saurosphargidae,Saurosphargidae
Largocephalosaurus qianensis,70.375,0.3176,0.1636,1.6559,0.6707,0.6029,1.2059,0.2134,0.2059,0.6677,0.5063,0.254,0.1839,2.4039,2.1099,1.673,Triassic,Saurosphargidae,Mid_Triassic,Induan-Anisian,-1.293942966,-1.37976271,0.60339019,-0.85354831,-0.560517059,Saurosphargidae,Saurosphargidae
Dinocephalosaurus orientalis,69.985,0.2632,2.3667,2.3341,0.6582,0.5482,1.0448,0.2315,0.2668,0.5449,0.5147,0.2477,0.2582,3.9821,3.7516,0.867,Triassic,Tanystropheidae,Mid_Triassic,Induan-Anisian,0.482728017,-1.35599357,0.181008295,1.036631357,-1.316270504,Tanystropheidae,Tanystropheidae
Tanystropheus longobardicus,53,0.3792,3.9811,2.6415,0.6414,0.717,0.684,0.2486,0.1163,0.6598,1.1021,0.1901,0.4212,3.488,4.2064,0.2455,Triassic,Tanystropheidae,Late_Triassic,Ladinian-EndCretaceous,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378,Tanystropheidae,Tanystropheidae
Tanytrachelos ahynis,5.453,0.285,0.9607,2.0576,0.4484,0.5683,0.8058,0.1451,0.1056,0.8083,1.2887,0.2372,0.5216,2.3174,3.2971,0.2942,Triassic,Tanystropheidae,Late_Triassic,Ladinian-EndCretaceous,1.859075206,-3.194112612,0.18890735,-0.774380218,-0.284190658,Tanystropheidae,Tanystropheidae
Kallimodon cerinensis ,9.05,0.4175,0.2659,2.0994,0.777,0.7993,0.7143,0.3098,0.1996,0.6576,0.9741,0.2642,0.4627,2.8584,3.6523,0.4167,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,0.301547498,-2.801373794,0.693261358,0.592507034,0.972639771,Rhynchocephalia,Sapheosauridae
Kallimodon pulchellus,6.6775,0.3894,0.271,2.3967,0.7252,0.7898,0.6905,0.3131,0.1881,0.6565,1.041,0.2666,0.5003,3.0527,3.6337,0.3382,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,0.594403536,-2.958167136,0.581034486,0.63905589,1.069767286,Rhynchocephalia,Sapheosauridae
Palaeopleurosaurus posidoniae,26.3,0.269,0.1255,2.3726,0.6731,0.6,0.7429,0.4017,0.1689,0.2814,0.3688,0.1217,0.1728,2.6947,4.3918,0.8083,Jurassic,Rhynchocephalia,Early_Jurassic,Ladinian-EndCretaceous,-1.655580285,-1.985281599,-0.753426157,1.421784335,-0.642175991,Rhynchocephalia,Pleurosuridae
Pleurosaurus ginsburgi,42.2125,0.1895,0.0713,2.369,0.7027,0.5127,0.2308,0.414,0.231,0.1048,0.3253,0.0395,0.1514,2.6659,6.384,0.1631,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,-1.414996722,-2.246707155,-1.816161868,3.115912506,-1.279807035,Rhynchocephalia,Pleurosuridae
Pleurosaurus goldfussi,31,0.3065,0.0787,2.361,0.7333,0.5789,0.5526,0.3183,0.2014,0.2016,0.3099,0.0866,0.1323,2.7062,3.4803,0.5518,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,-2.148164697,-2.332647365,-1.091754346,1.458073639,-0.779776357,Rhynchocephalia,Pleurosuridae
Sapheosaurus thiollierei,13.9,0.3633,0.2553,2.8201,0.6739,0.8132,0.7439,0.3449,0.2076,0.5975,0.9392,0.243,0.4351,3.3561,3.1332,0.2913,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,0.09646377,-2.837092214,0.426801385,0.761157375,1.0571627,Rhynchocephalia,Sapheosauridae
Vadasaurus herzogi,6.3,0.4635,0.206,2.8571,0.6431,0.7568,0.7068,0.3466,0.1941,0.7148,1.1383,0.3198,0.5445,4.5855,4.1005,0.3084,Jurassic,Rhynchocephalia,Late_Jurassic,Ladinian-EndCretaceous,1.479181524,-2.592485581,0.180922334,0.926003415,1.978028803,Rhynchocephalia,Pleurosuridae
